issue,gaskins,jackson,peterson,aguirre,bagley,chapman,elnoubi,greene,harris,huskey,lewis,mcpike,oconnell,scherer
pacing_too_quick,0,0,1,0,0,0,0,0,0,1,0,0,0,1
gov_structure,0,0,1,0,0,0,0,0,1,1,0,0,0,1
council_salary,1,1,1,1,1,1,0,0,1,1,0,1,1,1
zoning,1,1,0,1,1,1,0,1,0,0,1,1,1,0
density,0,0,0,1,1,0,0,0,0,0,0,1,0,0
conf_streets,0,1,0,0,0,0,1,1,0,0,1,1,1,1
aff_funding,1,0,1,1,1,1,1,1,0,0,1,1,1,0
torpedo,0,0,0,0,0,0,0,0,0,0,0,0,1,0
sro,1,1,1,0,0,1,1,1,0,1,1,0,1,1
gaza,0,0,1,1,0,1,1,1,0,0,1,0,0,1
brt,1,0,0,1,1,1,1,0,1,1,1,1,1,0
king_st,1,1,0,1,1,1,0,1,1,1,1,1,1,1
